Timestamp	Compilation Time	Code Cache Size	Perm Gen Size	Invocations/s
1376436577377	65365	19021696	501917264	162.51
1376436578377	65365	19021696	502287576	164.12
1376436579378	65365	19021696	502646224	162.34
1376436580379	65365	19021696	503008752	160.49
1376436581379	65365	19021696	503358248	164.32
1376436582380	65365	19021696	503742928	163.84
1376436583380	65365	19021696	504104872	166.20
1376436584381	65365	19021696	504469712	162.16
1376436585381	65365	19021696	504783056	161.65
1376436586382	65365	19021696	505198672	162.00
1376436587383	65365	19021696	505562064	165.21
1376436588383	65365	19021696	505966800	165.49
1376436589383	65365	19021696	506297552	164.38
1376436590384	65365	19021696	506676176	163.52
1376436591384	65365	19021696	507050448	164.71
1376436592385	65365	19021696	507379024	161.87
1376436593385	65365	19021696	507748944	161.92
1376436594386	65365	19021696	508126416	163.05
1376436595387	65365	19021696	508470336	161.96
1376436596387	65365	19021696	508780368	156.85
1376436597388	65365	19021696	509172048	160.16
1376436598389	65365	19021696	509470160	158.37
1376436599389	65365	19021696	509856336	159.46
1376436600389	65365	19021696	510214352	160.05
1376436601390	65365	19021696	510519416	158.80
1376436602390	65365	19021696	510878032	155.84
1376436603391	65365	19021696	511282768	158.88
1376436604392	65365	19021696	511656240	162.13
1376436605393	65365	19021696	512020432	160.48
1376436606393	65365	19021696	512405584	163.36
1376436607394	65365	19021696	512705872	159.12
1376436608395	65365	19021696	513093168	160.58
1376436609395	65365	19021696	513450064	160.27
1376436610396	65365	19021696	513793872	158.30
1376436611396	65365	19021696	514137680	158.02
1376436612396	65365	19021696	514474960	157.29
1376436613397	65365	19021696	514838352	159.90
1376436614397	65365	19021696	515153872	156.40
1376436615398	65365	19021696	515580816	161.28
1376436616398	65365	19021696	515893712	160.38
1376436617399	65365	19021696	516230992	158.50
1376436618399	65365	19021696	516624848	159.09
1376436619400	65365	19021696	516951248	158.77
1376436620400	65365	19021696	517312464	160.11
1376436621401	65365	19021696	517699792	158.99
1376436622402	65365	19021696	518047952	159.89
1376436623403	65365	19021696	518393936	160.97
1376436624403	65365	19021696	518755152	162.04
1376436625404	65365	19021696	519133776	160.86
1376436626405	65365	19021696	519494992	160.71
1376436627405	65365	19021696	519832272	159.41
1376436628406	65365	19021696	520215248	160.82
1376436629407	65365	19021696	520585168	161.57
1376436630411	65365	19021696	520918096	158.31
1376436631412	65365	19021696	521240144	156.84
1376436632413	65365	19021696	521592656	157.86
1376436633414	65365	19021696	521969104	157.06
1376436634415	65365	19021696	522339024	163.57
1376436635416	65365	19021696	522687184	157.33
1376436636417	65365	19021696	523052752	159.28
